environment,month,country,fx_rate_local_per_usd,fx_volatility_pct_mom,inflation_rate_pct,input_price_index,central_bank_rate_pct
Stable Market,2024-08-01,Kenya,128.74,1.42,8.41,91.7,12.64
Stable Market,2024-09-01,Kenya,127.59,1.25,8.58,100.5,11.96
Stable Market,2024-10-01,Kenya,127.75,1.97,7.92,93.3,12.07
Stable Market,2024-11-01,Kenya,127.89,1.55,7.78,94.7,14.61
Stable Market,2024-12-01,Kenya,126.55,0.74,7.81,100.7,16.47
Stable Market,2025-01-01,Kenya,125.23,1.07,7.57,98.6,12.27
Stable Market,2025-02-01,Kenya,127.97,0.41,7.45,102.8,13.6
Stable Market,2025-03-01,Kenya,127.66,0.66,7.37,106.8,13.19
Stable Market,2025-04-01,Kenya,126.98,1.48,7.28,104.7,16.29
Stable Market,2025-05-01,Kenya,127.25,0.67,7.37,102.6,13.34
Stable Market,2025-06-01,Kenya,128.57,1.09,7.46,95.7,16.49
Stable Market,2025-07-01,Kenya,128.98,0.63,7.22,98.6,16.05
Stable Market,2025-08-01,Kenya,130.42,2.03,7.03,97.6,12.94
Stable Market,2025-09-01,Kenya,132.47,2.02,6.73,96.4,13.28
Stable Market,2025-10-01,Kenya,133.17,2.49,6.72,97.2,15.27
Stable Market,2025-11-01,Kenya,132.74,0.61,6.69,101.3,16.19
Stable Market,2025-12-01,Kenya,131.28,2.46,6.26,104.3,15.62
Stable Market,2026-01-01,Kenya,129.17,0.42,6.34,103.0,15.75
Stable Market,2026-02-01,Kenya,127.95,0.26,6.12,96.9,15.02
Stable Market,2026-03-01,Kenya,129.45,0.35,5.9,98.4,13.32
Stable Market,2026-04-01,Kenya,128.53,0.21,6.0,107.7,12.63
Stable Market,2026-05-01,Kenya,128.35,0.51,5.73,105.2,11.94
Stable Market,2026-06-01,Kenya,129.29,0.69,5.73,104.2,13.86
Stable Market,2026-07-01,Kenya,127.83,1.12,5.58,105.2,14.81
Stable Market,2024-08-01,Uganda,3736.78,0.54,7.49,105.5,13.28
Stable Market,2024-09-01,Uganda,3762.09,1.71,7.4,99.9,16.09
Stable Market,2024-10-01,Uganda,3712.37,0.59,7.46,96.9,14.06
Stable Market,2024-11-01,Uganda,3747.16,1.12,7.82,101.7,15.54
Stable Market,2024-12-01,Uganda,3765.36,0.24,7.48,97.9,13.06
Stable Market,2025-01-01,Uganda,3820.84,1.8,7.55,96.2,15.16
Stable Market,2025-02-01,Uganda,3838.16,0.4,7.31,94.8,15.88
Stable Market,2025-03-01,Uganda,3820.44,1.49,7.4,95.1,15.56
Stable Market,2025-04-01,Uganda,3875.93,1.11,7.6,99.4,14.87
Stable Market,2025-05-01,Uganda,3901.66,0.49,7.55,104.7,12.04
Stable Market,2025-06-01,Uganda,3919.07,1.6,7.53,103.6,14.18
Stable Market,2025-07-01,Uganda,3931.12,0.22,7.55,97.7,13.05
Stable Market,2025-08-01,Uganda,3935.39,0.02,7.1,98.6,14.04
Stable Market,2025-09-01,Uganda,3911.25,2.3,7.11,99.4,11.59
Stable Market,2025-10-01,Uganda,3909.54,0.07,7.12,93.0,13.27
Stable Market,2025-11-01,Uganda,3937.56,0.82,7.13,104.6,14.11
Stable Market,2025-12-01,Uganda,3933.51,0.81,6.78,104.1,14.69
Stable Market,2026-01-01,Uganda,3928.23,1.15,6.65,91.3,11.9
Stable Market,2026-02-01,Uganda,3974.91,1.03,6.59,96.6,14.96
Stable Market,2026-03-01,Uganda,3978.07,2.07,6.76,96.5,14.68
Stable Market,2026-04-01,Uganda,3964.18,1.76,6.7,101.7,15.29
Stable Market,2026-05-01,Uganda,3995.18,1.01,7.18,93.7,15.28
Stable Market,2026-06-01,Uganda,3964.51,1.13,7.21,93.9,15.71
Stable Market,2026-07-01,Uganda,4016.38,1.89,6.99,99.1,13.89
Stable Market,2024-08-01,Ghana,15.1,0.03,7.45,98.9,13.86
Stable Market,2024-09-01,Ghana,14.88,0.37,7.31,104.2,14.31
Stable Market,2024-10-01,Ghana,14.72,2.62,7.47,102.2,14.09
Stable Market,2024-11-01,Ghana,14.7,0.26,7.45,104.5,14.67
Stable Market,2024-12-01,Ghana,15.02,0.48,7.61,103.2,12.49
Stable Market,2025-01-01,Ghana,14.87,2.42,7.31,96.5,14.71
Stable Market,2025-02-01,Ghana,14.76,2.18,7.24,102.1,11.87
Stable Market,2025-03-01,Ghana,14.99,0.6,7.42,97.5,16.13
Stable Market,2025-04-01,Ghana,14.98,0.82,7.45,96.1,16.44
