environment,company_id,month,revenue_usd,cogs_usd,gross_margin_pct,opex_usd,ebitda_usd,cash_balance_usd,accounts_receivable_days,accounts_payable_days,inventory_turnover_days
Stable Market,OXC-001,2024-08-01,218654.0,145283.0,0.336,32672.0,40699.0,185326.0,33.3,37.6,23.0
Stable Market,OXC-001,2024-09-01,196946.0,125268.0,0.364,27700.0,43978.0,206583.0,34.5,47.9,32.8
Stable Market,OXC-001,2024-10-01,228731.0,146417.0,0.36,45561.0,36754.0,226479.0,35.5,32.1,34.0
Stable Market,OXC-001,2024-11-01,183430.0,120514.0,0.343,32014.0,30901.0,235194.0,36.5,25.4,39.6
Stable Market,OXC-001,2024-12-01,211042.0,134444.0,0.363,35331.0,41266.0,255561.0,36.8,46.0,28.8
Stable Market,OXC-001,2025-01-01,205302.0,132782.0,0.353,30888.0,41632.0,278655.0,37.5,46.3,38.6
Stable Market,OXC-001,2025-02-01,220015.0,150673.0,0.315,45557.0,23785.0,287906.0,35.9,38.1,29.4
Stable Market,OXC-001,2025-03-01,200549.0,135717.0,0.323,25172.0,39660.0,305827.0,36.8,42.8,24.1
Stable Market,OXC-001,2025-04-01,211251.0,137595.0,0.349,30534.0,43123.0,324353.0,37.7,39.7,33.6
Stable Market,OXC-001,2025-05-01,222848.0,148592.0,0.333,45161.0,29095.0,334613.0,37.1,37.2,32.6
Stable Market,OXC-001,2025-06-01,238489.0,153274.0,0.357,47933.0,37282.0,361605.0,31.7,26.9,22.4
Stable Market,OXC-001,2025-07-01,250035.0,170577.0,0.318,48513.0,30944.0,373801.0,30.9,25.8,26.4
Stable Market,OXC-001,2025-08-01,228512.0,149055.0,0.348,42827.0,36630.0,388262.0,33.2,41.8,26.3
Stable Market,OXC-001,2025-09-01,253681.0,170627.0,0.327,48881.0,34173.0,390307.0,35.4,47.2,30.1
Stable Market,OXC-001,2025-10-01,259881.0,176344.0,0.321,54498.0,29040.0,395747.0,35.5,29.0,37.6
Stable Market,OXC-001,2025-11-01,270255.0,174769.0,0.353,45311.0,50175.0,412645.0,33.6,31.5,21.2
Stable Market,OXC-001,2025-12-01,233388.0,160687.0,0.312,33537.0,39164.0,421470.0,30.9,33.9,21.9
Stable Market,OXC-001,2026-01-01,253890.0,159413.0,0.372,53775.0,40702.0,433408.0,33.8,46.3,44.7
Stable Market,OXC-001,2026-02-01,233040.0,149119.0,0.36,44235.0,39686.0,452447.0,32.7,45.6,31.6
Stable Market,OXC-001,2026-03-01,237041.0,148253.0,0.375,32982.0,55806.0,483444.0,31.6,40.9,25.9
Stable Market,OXC-001,2026-04-01,247825.0,154648.0,0.376,39964.0,53214.0,507903.0,32.1,38.4,44.8
Stable Market,OXC-001,2026-05-01,240352.0,162301.0,0.325,37298.0,40753.0,522330.0,33.6,36.7,43.3
Stable Market,OXC-001,2026-06-01,237635.0,141604.0,0.404,47949.0,48083.0,547881.0,31.7,34.3,35.0
Stable Market,OXC-001,2026-07-01,239383.0,163402.0,0.317,28921.0,47061.0,568365.0,32.0,45.3,22.1
Stable Market,OXC-002,2024-08-01,121228.0,77069.0,0.364,18514.0,25645.0,253193.0,55.6,34.3,38.7
Stable Market,OXC-002,2024-09-01,114373.0,78561.0,0.313,23905.0,11906.0,248740.0,55.6,29.8,40.5
Stable Market,OXC-002,2024-10-01,107673.0,73728.0,0.315,15495.0,18451.0,255817.0,59.7,40.6,24.7
Stable Market,OXC-002,2024-11-01,103140.0,68764.0,0.333,18801.0,15575.0,259523.0,59.7,29.5,43.0
Stable Market,OXC-002,2024-12-01,110483.0,72264.0,0.346,23501.0,14718.0,265751.0,57.4,36.2,35.7
Stable Market,OXC-002,2025-01-01,106443.0,72585.0,0.318,19521.0,14337.0,268916.0,57.4,29.9,36.5
Stable Market,OXC-002,2025-02-01,112635.0,71706.0,0.363,23791.0,17138.0,274748.0,57.6,49.7,39.8
Stable Market,OXC-002,2025-03-01,105028.0,68733.0,0.346,13367.0,22929.0,277552.0,58.4,42.6,42.9
Stable Market,OXC-002,2025-04-01,107935.0,75912.0,0.297,16617.0,15406.0,285123.0,61.0,27.2,22.9
Stable Market,OXC-002,2025-05-01,124010.0,77739.0,0.373,15053.0,31218.0,306732.0,63.7,39.5,41.3
Stable Market,OXC-002,2025-06-01,121904.0,76606.0,0.372,26278.0,19020.0,312046.0,65.2,41.6,44.9
Stable Market,OXC-002,2025-07-01,127331.0,83547.0,0.344,24540.0,19243.0,321558.0,67.5,31.5,29.7
Stable Market,OXC-002,2025-08-01,117868.0,75659.0,0.358,17200.0,25008.0,329806.0,61.8,40.5,33.9
Stable Market,OXC-002,2025-09-01,119384.0,75083.0,0.371,22782.0,21519.0,341939.0,60.4,37.5,20.9
Stable Market,OXC-002,2025-10-01,120433.0,83203.0,0.309,17923.0,19307.0,353238.0,59.7,33.9,26.2
Stable Market,OXC-002,2025-11-01,116554.0,78527.0,0.326,19875.0,18152.0,356382.0,57.2,26.5,35.3
Stable Market,OXC-002,2025-12-01,111978.0,76009.0,0.321,16527.0,19442.0,366316.0,57.9,41.6,33.4
Stable Market,OXC-002,2026-01-01,117288.0,79635.0,0.321,20923.0,16730.0,370862.0,60.5,37.5,22.0
Stable Market,OXC-002,2026-02-01,113949.0,77349.0,0.321,24814.0,11786.0,377902.0,61.8,42.2,27.2
Stable Market,OXC-002,2026-03-01,123055.0,80562.0,0.345,19846.0,22647.0,395213.0,60.2,36.3,40.4
Stable Market,OXC-002,2026-04-01,130507.0,80148.0,0.386,20648.0,29710.0,406318.0,55.0,25.9,33.9
Stable Market,OXC-002,2026-05-01,139961.0,93493.0,0.332,17238.0,29229.0,423944.0,54.6,26.9,32.3
Stable Market,OXC-002,2026-06-01,136426.0,88960.0,0.348,24667.0,22799.0,436209.0,54.5,32.7,38.5
Stable Market,OXC-002,2026-07-01,131817.0,89850.0,0.318,24397.0,17570.0,436837.0,54.8,40.9,44.6
Stable Market,OXC-003,2024-08-01,177511.0,137061.0,0.228,37491.0,2959.0,236538.0,31.5,30.0,32.7
Stable Market,OXC-003,2024-09-01,154851.0,115042.0,0.257,26657.0,13151.0,249193.0,31.8,30.8,22.1
Stable Market,OXC-003,2024-10-01,163717.0,129956.0,0.206,35950.0,-2188.0,237509.0,30.2,41.9,27.3
Stable Market,OXC-003,2024-11-01,175288.0,130233.0,0.257,35387.0,9668.0,239596.0,33.4,47.8,24.4
Stable Market,OXC-003,2024-12-01,167189.0,125298.0,0.251,20517.0,21374.0,249093.0,35.3,34.7,39.3
Stable Market,OXC-003,2025-01-01,147021.0,114105.0,0.224,18154.0,14762.0,255541.0,36.3,46.4,23.7
Stable Market,OXC-003,2025-02-01,174376.0,132824.0,0.238,28713.0,12839.0,259725.0,37.7,28.2,43.9
Stable Market,OXC-003,2025-03-01,173202.0,129998.0,0.249,30800.0,12404.0,262632.0,38.4,27.0,36.4
Stable Market,OXC-003,2025-04-01,162220.0,125449.0,0.227,31482.0,5289.0,267190.0,41.4,32.0,39.2
Stable Market,OXC-003,2025-05-01,175142.0,136750.0,0.219,23525.0,14867.0,276344.0,42.6,31.3,42.3
Stable Market,OXC-003,2025-06-01,170305.0,129180.0,0.241,31371.0,9754.0,283708.0,38.7,40.8,24.1
Stable Market,OXC-003,2025-07-01,181424.0,136874.0,0.246,25896.0,18654.0,289645.0,39.6,27.7,34.6
Stable Market,OXC-003,2025-08-01,176860.0,132764.0,0.249,38464.0,5632.0,294128.0,39.4,39.9,30.3
Stable Market,OXC-003,2025-09-01,155918.0,117300.0,0.248,29907.0,8710.0,294123.0,41.3,28.6,27.4
Stable Market,OXC-003,2025-10-01,149428.0,115790.0,0.225,22401.0,11237.0,291868.0,43.1,49.5,24.2
Stable Market,OXC-003,2025-11-01,144692.0,108290.0,0.252,20912.0,15490.0,296177.0,43.1,38.7,38.3
Stable Market,OXC-003,2025-12-01,148104.0,111786.0,0.245,18792.0,17527.0,294818.0,41.9,28.0,37.3
Stable Market,OXC-003,2026-01-01,150359.0,112165.0,0.254,30858.0,7336.0,297179.0,41.6,34.5,36.7
Stable Market,OXC-003,2026-02-01,151501.0,115265.0,0.239,23404.0,12832.0,307342.0,43.6,29.2,35.6
Stable Market,OXC-003,2026-03-01,161930.0,116811.0,0.279,20150.0,24969.0,315262.0,44.4,32.5,43.0
Stable Market,OXC-003,2026-04-01,180193.0,139668.0,0.225,35111.0,5415.0,318579.0,46.0,40.3,36.8
Stable Market,OXC-003,2026-05-01,192221.0,149743.0,0.221,40603.0,1875.0,315477.0,44.4,46.0,28.1
Stable Market,OXC-003,2026-06-01,205481.0,160262.0,0.22,27600.0,17619.0,324343.0,43.4,38.1,40.2
Stable Market,OXC-003,2026-07-01,211711.0,155102.0,0.267,40852.0,15758.0,328240.0,41.9,37.2,39.9
Stable Market,OXC-004,2024-08-01,185464.0,132781.0,0.284,27369.0,25314.0,143332.0,33.6,42.0,44.6
Stable Market,OXC-004,2024-09-01,209489.0,148882.0,0.289,32185.0,28422.0,152605.0,33.2,37.6,38.3
Stable Market,OXC-004,2024-10-01,218729.0,159102.0,0.273,29906.0,29722.0,169321.0,32.1,36.2,40.7
Stable Market,OXC-004,2024-11-01,233764.0,173905.0,0.256,35920.0,23940.0,169955.0,32.8,25.0,39.1
Stable Market,OXC-004,2024-12-01,203696.0,146534.0,0.281,41566.0,15596.0,176009.0,31.4,39.0,30.7
Stable Market,OXC-004,2025-01-01,216629.0,158973.0,0.266,41169.0,16487.0,179762.0,33.3,31.2,41.6
Stable Market,OXC-004,2025-02-01,213202.0,153627.0,0.279,37611.0,21964.0,190809.0,30.9,47.7,30.8
Stable Market,OXC-004,2025-03-01,233959.0,168598.0,0.279,36452.0,28910.0,205623.0,31.1,45.3,22.6
Stable Market,OXC-004,2025-04-01,211240.0,156692.0,0.258,41162.0,13386.0,208421.0,30.8,28.7,38.7
Stable Market,OXC-004,2025-05-01,181676.0,134096.0,0.262,39537.0,8043.0,213585.0,33.3,39.2,27.3
Stable Market,OXC-004,2025-06-01,170309.0,128144.0,0.248,21831.0,20334.0,219142.0,36.8,55.2,28.3
Stable Market,OXC-004,2025-07-01,146065.0,118490.0,0.189,21078.0,6497.0,213023.0,32.9,43.3,48.2
Stable Market,OXC-004,2025-08-01,128195.0,105533.0,0.177,18322.0,4339.0,210676.0,31.9,49.4,32.1
Stable Market,OXC-004,2025-09-01,101019.0,90714.0,0.102,13053.0,-2747.0,204826.0,31.8,54.6,27.1
Stable Market,OXC-004,2025-10-01,89405.0,81809.0,0.085,17924.0,-10328.0,196321.0,32.8,47.7,48.6
Stable Market,OXC-004,2025-11-01,63095.0,60084.0,0.048,12334.0,-9323.0,183598.0,35.5,56.6,29.0
Stable Market,OXC-004,2025-12-01,44603.0,44157.0,0.01,8283.0,-7837.0,178516.0,34.1,43.4,45.8
Stable Market,OXC-004,2026-01-01,30275.0,29973.0,0.01,6329.0,-6026.0,172930.0,33.6,53.3,34.3
Stable Market,OXC-004,2026-02-01,16993.0,16823.0,0.01,2967.0,-2797.0,165513.0,32.5,55.6,50.3
Stable Market,OXC-004,2026-03-01,9935.0,9836.0,0.01,1366.0,-1267.0,157488.0,33.1,49.6,50.1
Stable Market,OXC-004,2026-04-01,5655.0,5598.0,0.01,1209.0,-1153.0,149908.0,32.4,42.8,43.6
Stable Market,OXC-004,2026-05-01,3000.0,2970.0,0.01,384.0,-354.0,152326.0,31.6,36.2,42.1
Stable Market,OXC-004,2026-06-01,3000.0,2970.0,0.01,520.0,-490.0,148011.0,33.8,37.0,42.0
Stable Market,OXC-004,2026-07-01,3000.0,2970.0,0.01,622.0,-592.0,155080.0,32.8,48.3,49.6
Stable Market,OXC-005,2024-08-01,215295.0,164336.0,0.237,43899.0,7061.0,206253.0,51.8,48.7,33.0
Stable Market,OXC-005,2024-09-01,185034.0,136193.0,0.264,34074.0,14767.0,209814.0,53.7,37.0,36.8
Stable Market,OXC-005,2024-10-01,212163.0,166349.0,0.216,40227.0,5586.0,206995.0,53.8,33.6,22.8
Stable Market,OXC-005,2024-11-01,215646.0,172355.0,0.201,33278.0,10013.0,207320.0,53.0,49.6,22.0
Stable Market,OXC-005,2024-12-01,237719.0,184050.0,0.226,35509.0,18160.0,215836.0,49.2,49.1,44.8
Stable Market,OXC-005,2025-01-01,215779.0,167465.0,0.224,35764.0,12550.0,215572.0,49.7,48.1,35.2
Stable Market,OXC-005,2025-02-01,194667.0,144228.0,0.259,27615.0,22824.0,226035.0,46.7,26.9,27.5
Stable Market,OXC-005,2025-03-01,190868.0,148854.0,0.22,25890.0,16124.0,228325.0,46.2,49.6,38.7
Stable Market,OXC-005,2025-04-01,200930.0,150653.0,0.25,25268.0,25009.0,240945.0,47.8,27.4,24.4
Stable Market,OXC-005,2025-05-01,185360.0,139805.0,0.246,27406.0,18149.0,251203.0,46.7,44.4,28.1
Stable Market,OXC-005,2025-06-01,197480.0,160216.0,0.189,31999.0,5264.0,248644.0,46.4,42.8,32.0
Stable Market,OXC-005,2025-07-01,166699.0,142168.0,0.147,33157.0,-8626.0,238879.0,48.6,38.0,47.8
Stable Market,OXC-005,2025-08-01,156804.0,146632.0,0.065,30800.0,-20629.0,224008.0,50.1,54.0,42.9
Stable Market,OXC-005,2025-09-01,131339.0,124832.0,0.05,27329.0,-20822.0,202743.0,47.4,39.0,50.5
Stable Market,OXC-005,2025-10-01,103096.0,100454.0,0.026,13333.0,-10691.0,184229.0,49.4,41.1,38.6
Stable Market,OXC-005,2025-11-01,77052.0,76282.0,0.01,10685.0,-9914.0,173980.0,52.6,45.1,28.9
Stable Market,OXC-005,2025-12-01,55176.0,54624.0,0.01,11816.0,-11264.0,164845.0,54.9,34.5,47.1
Stable Market,OXC-005,2026-01-01,37308.0,36935.0,0.01,4990.0,-4616.0,165620.0,55.8,35.5,29.4
Stable Market,OXC-005,2026-02-01,18128.0,17946.0,0.01,2988.0,-2807.0,166813.0,56.8,48.1,48.5
Stable Market,OXC-005,2026-03-01,10146.0,10044.0,0.01,1418.0,-1316.0,173763.0,56.1,57.0,43.0
Stable Market,OXC-005,2026-04-01,4470.0,4425.0,0.01,669.0,-624.0,171423.0,55.8,52.1,27.8
Stable Market,OXC-005,2026-05-01,3000.0,2970.0,0.01,605.0,-575.0,180632.0,56.9,38.2,34.7
Stable Market,OXC-005,2026-06-01,3000.0,2970.0,0.01,565.0,-535.0,179452.0,59.7,44.9,45.9
Stable Market,OXC-005,2026-07-01,3000.0,2970.0,0.01,494.0,-464.0,176255.0,60.9,55.7,32.4
Stable Market,OXC-006,2024-08-01,130465.0,89360.0,0.315,18179.0,22926.0,81275.0,34.9,48.5,22.7
Stable Market,OXC-006,2024-09-01,136834.0,95346.0,0.303,18966.0,22522.0,91277.0,36.5,38.2,24.6
Stable Market,OXC-006,2024-10-01,126403.0,86590.0,0.315,15174.0,24639.0,101499.0,38.1,29.0,32.8
Stable Market,OXC-006,2024-11-01,130440.0,93227.0,0.285,28397.0,8816.0,93925.0,38.2,37.4,34.0
Stable Market,OXC-006,2024-12-01,136629.0,96964.0,0.29,22698.0,16967.0,104800.0,38.5,27.9,29.9
Stable Market,OXC-006,2025-01-01,131523.0,89173.0,0.322,22070.0,20281.0,110112.0,38.1,42.9,21.8
Stable Market,OXC-006,2025-02-01,138451.0,91714.0,0.338,21744.0,24993.0,123627.0,36.7,45.3,33.8
Stable Market,OXC-006,2025-03-01,130144.0,88019.0,0.324,17010.0,25114.0,131656.0,36.3,43.7,23.2
Stable Market,OXC-006,2025-04-01,136270.0,92326.0,0.322,17429.0,26515.0,148610.0,38.2,48.7,34.6
Stable Market,OXC-006,2025-05-01,142793.0,99006.0,0.307,20267.0,23520.0,157328.0,37.1,28.9,34.2
Stable Market,OXC-006,2025-06-01,132764.0,92111.0,0.306,24598.0,16055.0,160974.0,34.0,42.2,22.2
Stable Market,OXC-006,2025-07-01,114512.0,80413.0,0.298,20621.0,13477.0,162944.0,31.9,37.9,35.8
Stable Market,OXC-006,2025-08-01,107123.0,72023.0,0.328,13541.0,21559.0,173218.0,32.7,35.2,33.3
Stable Market,OXC-006,2025-09-01,116629.0,80201.0,0.312,23086.0,13342.0,174271.0,35.5,42.7,21.8
Stable Market,OXC-006,2025-10-01,112305.0,76158.0,0.322,15352.0,20795.0,183051.0,34.9,26.9,42.4
Stable Market,OXC-006,2025-11-01,130509.0,90995.0,0.303,22884.0,16630.0,182055.0,34.1,31.5,43.8
Stable Market,OXC-006,2025-12-01,124201.0,91041.0,0.267,21436.0,11724.0,187095.0,33.9,44.9,25.8
Stable Market,OXC-006,2026-01-01,121923.0,85682.0,0.297,17272.0,18968.0,194557.0,36.0,42.9,39.9
Stable Market,OXC-006,2026-02-01,118230.0,80656.0,0.318,21073.0,16502.0,195876.0,36.5,42.7,28.7
