environment,company_id,month,amount_due_usd,amount_paid_usd,days_late,payment_status
Stable Market,OXC-001,2024-08-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2024-09-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2024-10-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2024-11-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2024-12-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2025-01-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2025-02-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2025-03-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2025-04-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2025-05-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2025-06-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2025-07-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2025-08-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2025-09-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2025-10-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2025-11-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2025-12-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2026-01-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2026-02-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2026-03-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2026-04-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2026-05-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2026-06-01,20115.0,20115.0,0,On Time
Stable Market,OXC-001,2026-07-01,20115.0,20115.0,0,On Time
Stable Market,OXC-002,2024-08-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2024-09-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2024-10-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2024-11-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2024-12-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2025-01-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2025-02-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2025-03-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2025-04-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2025-05-01,14715.0,14715.0,3,Late
Stable Market,OXC-002,2025-06-01,14715.0,14715.0,2,Late
Stable Market,OXC-002,2025-07-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2025-08-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2025-09-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2025-10-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2025-11-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2025-12-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2026-01-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2026-02-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2026-03-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2026-04-01,14715.0,14715.0,3,Late
Stable Market,OXC-002,2026-05-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2026-06-01,14715.0,14715.0,0,On Time
Stable Market,OXC-002,2026-07-01,14715.0,14715.0,0,On Time
Stable Market,OXC-003,2024-08-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2024-09-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2024-10-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2024-11-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2024-12-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2025-01-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2025-02-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2025-03-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2025-04-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2025-05-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2025-06-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2025-07-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2025-08-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2025-09-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2025-10-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2025-11-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2025-12-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2026-01-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2026-02-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2026-03-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2026-04-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2026-05-01,17730.0,17730.0,2,Late
Stable Market,OXC-003,2026-06-01,17730.0,17730.0,0,On Time
Stable Market,OXC-003,2026-07-01,17730.0,17730.0,0,On Time
Stable Market,OXC-004,2024-08-01,16380.0,16380.0,0,On Time
Stable Market,OXC-004,2024-09-01,16380.0,16380.0,0,On Time
Stable Market,OXC-004,2024-10-01,16380.0,16380.0,0,On Time
Stable Market,OXC-004,2024-11-01,16380.0,16380.0,0,On Time
Stable Market,OXC-004,2024-12-01,16380.0,16380.0,0,On Time
Stable Market,OXC-004,2025-01-01,16380.0,16380.0,0,On Time
Stable Market,OXC-004,2025-02-01,16380.0,16380.0,0,On Time
Stable Market,OXC-004,2025-03-01,16380.0,16380.0,0,On Time
Stable Market,OXC-004,2025-04-01,16380.0,16380.0,0,On Time
Stable Market,OXC-004,2025-05-01,16380.0,16380.0,0,On Time
Stable Market,OXC-004,2025-06-01,16380.0,16380.0,0,On Time
Stable Market,OXC-004,2025-07-01,16380.0,16380.0,0,On Time
Stable Market,OXC-004,2025-08-01,16380.0,16380.0,10,Late
Stable Market,OXC-004,2025-09-01,16380.0,16380.0,15,Late
Stable Market,OXC-004,2025-10-01,16380.0,16380.0,15,Late
Stable Market,OXC-004,2025-11-01,16380.0,16380.0,14,Late
Stable Market,OXC-004,2025-12-01,16380.0,16380.0,26,Late
Stable Market,OXC-004,2026-01-01,16380.0,16380.0,19,Late
Stable Market,OXC-004,2026-02-01,16380.0,16380.0,27,Late
Stable Market,OXC-004,2026-03-01,16380.0,16380.0,28,Late
Stable Market,OXC-004,2026-04-01,16380.0,16380.0,0,On Time
Stable Market,OXC-004,2026-05-01,16380.0,16380.0,0,On Time
Stable Market,OXC-004,2026-06-01,16380.0,10502.0,50,Partial/Default Risk
Stable Market,OXC-004,2026-07-01,16380.0,11722.0,39,Partial/Default Risk
Stable Market,OXC-006,2024-08-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2024-09-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2024-10-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2024-11-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2024-12-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2025-01-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2025-02-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2025-03-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2025-04-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2025-05-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2025-06-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2025-07-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2025-08-01,22950.0,22950.0,5,Late
Stable Market,OXC-006,2025-09-01,22950.0,22950.0,3,Late
Stable Market,OXC-006,2025-10-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2025-11-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2025-12-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2026-01-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2026-02-01,22950.0,22950.0,12,Late
Stable Market,OXC-006,2026-03-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2026-04-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2026-05-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2026-06-01,22950.0,22950.0,0,On Time
Stable Market,OXC-006,2026-07-01,22950.0,22950.0,0,On Time
Stable Market,OXC-007,2024-08-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2024-09-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2024-10-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2024-11-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2024-12-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2025-01-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2025-02-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2025-03-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2025-04-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2025-05-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2025-06-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2025-07-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2025-08-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2025-09-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2025-10-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2025-11-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2025-12-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2026-01-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2026-02-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2026-03-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2026-04-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2026-05-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2026-06-01,13860.0,13860.0,0,On Time
Stable Market,OXC-007,2026-07-01,13860.0,13860.0,0,On Time
Stable Market,OXC-008,2024-08-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2024-09-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2024-10-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2024-11-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2024-12-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2025-01-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2025-02-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2025-03-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2025-04-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2025-05-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2025-06-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2025-07-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2025-08-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2025-09-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2025-10-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2025-11-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2025-12-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2026-01-01,15885.0,15885.0,0,On Time
