environment,company_id,month,revenue_usd,cogs_usd,gross_margin_pct,opex_usd,ebitda_usd,cash_balance_usd,accounts_receivable_days,accounts_payable_days,inventory_turnover_days,transaction_count,transaction_volume_usd,top5_customer_concentration_pct,anomaly_flag,monthly_report_submitted_on_time,days_late_reporting,leadership_turnover_event,auditor_changed_event,amount_due_usd,amount_paid_usd,days_late,payment_status,revenue_3m_pct_change,ebitda_margin,cash_runway_months,amount_paid_ratio,receivable_payable_gap,label_distress_next_3m,distress_risk_score,risk_tier
Stable Market,OXC-001,2024-11-01,183430.0,120514.0,0.343,32014.0,30901.0,235194.0,36.5,25.4,39.6,659,186502.0,0.22,0,1,0,0,0,20115.0,20115.0,0.0,On Time,-0.1610946975587001,0.1684620836286322,7.346598363216093,1.0,11.100000000000001,0,0.0,Low
Stable Market,OXC-001,2024-12-01,211042.0,134444.0,0.363,35331.0,41266.0,255561.0,36.8,46.0,28.8,532,200591.0,0.45,0,0,17,0,0,20115.0,20115.0,0.0,On Time,0.07157291846495983,0.1955345381488045,7.233336163708924,1.0,-9.200000000000003,0,0.0,Low
Stable Market,OXC-001,2025-01-01,205302.0,132782.0,0.353,30888.0,41632.0,278655.0,37.5,46.3,38.6,1246,201207.0,0.34,0,1,0,0,0,20115.0,20115.0,0.0,On Time,-0.10243036580087528,0.20278419109409554,9.021464646464647,1.0,-8.799999999999997,0,0.0,Low
Stable Market,OXC-001,2025-02-01,220015.0,150673.0,0.315,45557.0,23785.0,287906.0,35.9,38.1,29.4,629,227608.0,0.22,0,1,0,0,0,20115.0,20115.0,0.0,On Time,0.1994493812353486,0.10810626548189896,6.319687424545076,1.0,-2.200000000000003,0,0.0,Low
Stable Market,OXC-001,2025-03-01,200549.0,135717.0,0.323,25172.0,39660.0,305827.0,36.8,42.8,24.1,591,191789.0,0.44,0,1,0,0,0,20115.0,20115.0,0.0,On Time,-0.04971996095563913,0.19775715660511894,12.149491498490386,1.0,-6.0,0,0.0,Low
Stable Market,OXC-001,2025-04-01,211251.0,137595.0,0.349,30534.0,43123.0,324353.0,37.7,39.7,33.6,1033,210710.0,0.29,0,1,0,0,0,20115.0,20115.0,0.0,On Time,0.02897682438553928,0.20413157807537005,10.622682910853475,1.0,-2.0,0,0.0,Low
Stable Market,OXC-001,2025-05-01,222848.0,148592.0,0.333,45161.0,29095.0,334613.0,37.1,37.2,32.6,1458,224253.0,0.3,0,1,0,0,0,20115.0,20115.0,0.0,On Time,0.012876394791264234,0.1305598434807582,7.409335488585284,1.0,-0.10000000000000142,0,0.0,Low
Stable Market,OXC-001,2025-06-01,238489.0,153274.0,0.357,47933.0,37282.0,361605.0,31.7,26.9,22.4,1254,247033.0,0.39,0,0,4,0,0,20115.0,20115.0,0.0,On Time,0.1891806989812963,0.15632586827904013,7.543967621471637,1.0,4.800000000000001,0,0.0,Low
Stable Market,OXC-001,2025-07-01,250035.0,170577.0,0.318,48513.0,30944.0,373801.0,30.9,25.8,26.4,1303,266105.0,0.18,0,1,0,0,0,20115.0,20115.0,0.0,On Time,0.1835920303335843,0.12375867378567,7.70517180961804,1.0,5.099999999999998,0,0.0,Low
Stable Market,OXC-001,2025-08-01,228512.0,149055.0,0.348,42827.0,36630.0,388262.0,33.2,41.8,26.3,1302,229161.0,0.31,0,1,0,0,0,20115.0,20115.0,0.0,On Time,0.025416427340608783,0.16029792746113988,9.065822962150046,1.0,-8.599999999999994,0,0.0,Low
Stable Market,OXC-001,2025-09-01,253681.0,170627.0,0.327,48881.0,34173.0,390307.0,35.4,47.2,30.1,689,284036.0,0.39,0,1,0,0,0,20115.0,20115.0,0.0,On Time,0.06370105120152303,0.13470855129079434,7.984840735664164,1.0,-11.800000000000004,0,0.0,Low
Stable Market,OXC-001,2025-10-01,259881.0,176344.0,0.321,54498.0,29040.0,395747.0,35.5,29.0,37.6,654,255277.0,0.28,0,1,0,0,0,20115.0,20115.0,0.0,On Time,0.03937848701181834,0.11174345181063641,7.26167932768175,1.0,6.5,0,0.0,Low
Stable Market,OXC-001,2025-11-01,270255.0,174769.0,0.353,45311.0,50175.0,412645.0,33.6,31.5,21.2,656,265006.0,0.37,0,1,0,0,0,20115.0,20115.0,0.0,On Time,0.18267312001120284,0.18565798967641672,9.10694974730198,1.0,2.1000000000000014,0,0.0,Low
Stable Market,OXC-001,2025-12-01,233388.0,160687.0,0.312,33537.0,39164.0,421470.0,30.9,33.9,21.9,639,238347.0,0.27,0,1,0,0,0,20115.0,20115.0,0.0,On Time,-0.07999416590126973,0.1678063996435121,12.567313713212274,1.0,-3.0,0,0.0,Low
Stable Market,OXC-001,2026-01-01,253890.0,159413.0,0.372,53775.0,40702.0,433408.0,33.8,46.3,44.7,674,255151.0,0.4,0,1,0,0,0,20115.0,20115.0,0.0,On Time,-0.023052858808454646,0.16031352160384418,8.059655973965597,1.0,-12.5,0,0.0,Low
Stable Market,OXC-001,2026-02-01,233040.0,149119.0,0.36,44235.0,39686.0,452447.0,32.7,45.6,31.6,614,216044.0,0.34,0,1,0,0,0,20115.0,20115.0,0.0,On Time,-0.1377032802353333,0.17029694473051837,10.22825816661015,1.0,-12.899999999999999,0,0.0,Low
Stable Market,OXC-001,2026-03-01,237041.0,148253.0,0.375,32982.0,55806.0,483444.0,31.6,40.9,25.9,688,251508.0,0.25,1,1,0,0,0,20115.0,20115.0,0.0,On Time,0.01565204723464797,0.23542762644437037,14.657813352737858,1.0,-9.299999999999997,0,0.0,Low
Stable Market,OXC-001,2026-04-01,247825.0,154648.0,0.376,39964.0,53214.0,507903.0,32.1,38.4,44.8,1486,244595.0,0.18,0,1,0,0,0,20115.0,20115.0,0.0,On Time,-0.02388829808184645,0.2147240996671038,12.70901311180062,1.0,-6.299999999999997,0,0.0,Low
Stable Market,OXC-001,2026-05-01,240352.0,162301.0,0.325,37298.0,40753.0,522330.0,33.6,36.7,43.3,619,228024.0,0.31,0,0,10,0,0,20115.0,20115.0,0.0,On Time,0.0313765877102643,0.1695554852882439,14.004236152072497,1.0,-3.1000000000000014,0,0.0,Low
Stable Market,OXC-001,2026-06-01,237635.0,141604.0,0.404,47949.0,48083.0,547881.0,31.7,34.3,35.0,1299,214477.0,0.35,0,1,0,0,0,20115.0,20115.0,0.0,On Time,0.0025058956045578284,0.20233972268394806,11.426327973471814,1.0,-2.599999999999998,0,0.0,Low
Stable Market,OXC-001,2026-07-01,239383.0,163402.0,0.317,28921.0,47061.0,568365.0,32.0,45.3,22.1,1515,231636.0,0.39,0,1,0,0,0,20115.0,20115.0,0.0,On Time,-0.03406435993140322,0.19659290759995487,19.65232875765015,1.0,-13.299999999999997,0,0.0,Low
Stable Market,OXC-002,2024-11-01,103140.0,68764.0,0.333,18801.0,15575.0,259523.0,59.7,29.5,43.0,253,101862.0,0.22,0,1,0,0,0,14715.0,14715.0,0.0,On Time,-0.14920645395453191,0.15100833818111306,13.803680655284293,1.0,30.200000000000003,0,0.0,Low
Stable Market,OXC-002,2024-12-01,110483.0,72264.0,0.346,23501.0,14718.0,265751.0,57.4,36.2,35.7,267,113326.0,0.31,0,1,0,0,0,14715.0,14715.0,0.0,On Time,-0.034011523698775026,0.13321506476109446,11.3080719969363,1.0,21.199999999999996,0,0.0,Low
Stable Market,OXC-002,2025-01-01,106443.0,72585.0,0.318,19521.0,14337.0,268916.0,57.4,29.9,36.5,314,110138.0,0.36,1,1,0,0,0,14715.0,14715.0,0.0,On Time,-0.01142347663759713,0.13469180688255686,13.77572870242303,1.0,27.5,0,0.0,Low
Stable Market,OXC-002,2025-02-01,112635.0,71706.0,0.363,23791.0,17138.0,274748.0,57.6,49.7,39.8,513,112909.0,0.22,0,0,2,0,0,14715.0,14715.0,0.0,On Time,0.0920593368237348,0.15215519154792026,11.548400655710143,1.0,7.899999999999999,0,0.0,Low
Stable Market,OXC-002,2025-03-01,105028.0,68733.0,0.346,13367.0,22929.0,277552.0,58.4,42.6,42.9,423,106834.0,0.26,0,1,0,0,0,14715.0,14715.0,0.0,On Time,-0.0493741118543124,0.21831321171497126,20.763970973292437,1.0,15.799999999999997,0,0.0,Low
Stable Market,OXC-002,2025-04-01,107935.0,75912.0,0.297,16617.0,15406.0,285123.0,61.0,27.2,22.9,317,106665.0,0.27,0,1,0,0,0,14715.0,14715.0,0.0,On Time,0.014016891669719866,0.14273405290220967,17.158512366853223,1.0,33.8,0,0.0,Low
Stable Market,OXC-002,2025-05-01,124010.0,77739.0,0.373,15053.0,31218.0,306732.0,63.7,39.5,41.3,692,124827.0,0.24,0,1,0,0,0,14715.0,14715.0,3.0,Late,0.10098992320326716,0.2517377630836223,20.37680196638544,1.0,24.200000000000003,0,0.0,Low
Stable Market,OXC-002,2025-06-01,121904.0,76606.0,0.372,26278.0,19020.0,312046.0,65.2,41.6,44.9,523,119382.0,0.25,0,1,0,0,0,14715.0,14715.0,2.0,Late,0.16068096126747156,0.15602441265257908,11.87480021310602,1.0,23.6,0,0.0,Low
Stable Market,OXC-002,2025-07-01,127331.0,83547.0,0.344,24540.0,19243.0,321558.0,67.5,31.5,29.7,432,126350.0,0.42,0,0,14,0,0,14715.0,14715.0,0.0,On Time,0.179700745819243,0.15112580597026648,13.103422982885085,1.0,36.0,0,0.0,Low
Stable Market,OXC-002,2025-08-01,117868.0,75659.0,0.358,17200.0,25008.0,329806.0,61.8,40.5,33.9,400,117127.0,0.18,0,1,0,0,0,14715.0,14715.0,0.0,On Time,-0.04952826384968956,0.21216954559337564,19.174767441860464,1.0,21.299999999999997,0,0.0,Low
Stable Market,OXC-002,2025-09-01,119384.0,75083.0,0.371,22782.0,21519.0,341939.0,60.4,37.5,20.9,650,124361.0,0.43,0,1,0,0,0,14715.0,14715.0,0.0,On Time,-0.02067200420002624,0.18025028479528246,15.009173909226583,1.0,22.9,0,0.0,Low
Stable Market,OXC-002,2025-10-01,120433.0,83203.0,0.309,17923.0,19307.0,353238.0,59.7,33.9,26.2,360,116059.0,0.33,0,1,0,0,0,14715.0,14715.0,0.0,On Time,-0.05417376758212844,0.1603132031918162,19.708642526362773,1.0,25.800000000000004,0,0.0,Low
Stable Market,OXC-002,2025-11-01,116554.0,78527.0,0.326,19875.0,18152.0,356382.0,57.2,26.5,35.3,818,122453.0,0.4,0,1,0,0,0,14715.0,14715.0,0.0,On Time,-0.011148063935928376,0.15573897077749368,17.931169811320753,1.0,30.700000000000003,0,0.0,Low
Stable Market,OXC-002,2025-12-01,111978.0,76009.0,0.321,16527.0,19442.0,366316.0,57.9,41.6,33.4,317,112237.0,0.39,0,1,0,0,0,14715.0,14715.0,0.0,On Time,-0.06203511358305969,0.17362339030881066,22.164700187571853,1.0,16.299999999999997,0,0.0,Low
Stable Market,OXC-002,2026-01-01,117288.0,79635.0,0.321,20923.0,16730.0,370862.0,60.5,37.5,22.0,542,112662.0,0.3,0,1,0,0,0,14715.0,14715.0,0.0,On Time,-0.02611410493801536,0.14264033831252984,17.725087224585383,1.0,23.0,0,0.0,Low
Stable Market,OXC-002,2026-02-01,113949.0,77349.0,0.321,24814.0,11786.0,377902.0,61.8,42.2,27.2,281,118485.0,0.42,0,1,0,0,0,14715.0,14715.0,0.0,On Time,-0.02235015529282569,0.10343223722893576,15.229386636576127,1.0,19.599999999999994,0,0.0,Low
Stable Market,OXC-002,2026-03-01,123055.0,80562.0,0.345,19846.0,22647.0,395213.0,60.2,36.3,40.4,818,125589.0,0.3,0,1,0,0,0,14715.0,14715.0,0.0,On Time,0.09892121666755971,0.1840396570639145,19.91398770533105,1.0,23.900000000000006,0,0.0,Low
Stable Market,OXC-002,2026-04-01,130507.0,80148.0,0.386,20648.0,29710.0,406318.0,55.0,25.9,33.9,429,130473.0,0.47,0,1,0,0,0,14715.0,14715.0,3.0,Late,0.11270547711615841,0.22765062410445416,19.678322355676094,1.0,29.1,0,0.0,Low
Stable Market,OXC-002,2026-05-01,139961.0,93493.0,0.332,17238.0,29229.0,423944.0,54.6,26.9,32.3,911,128702.0,0.31,0,1,0,0,0,14715.0,14715.0,0.0,On Time,0.228277562769309,0.20883674737962718,24.593572340178675,1.0,27.700000000000003,0,0.0,Low
Stable Market,OXC-002,2026-06-01,136426.0,88960.0,0.348,24667.0,22799.0,436209.0,54.5,32.7,38.5,595,141135.0,0.29,0,1,0,0,0,14715.0,14715.0,0.0,On Time,0.10865872983625202,0.1671162388401038,17.68390967689626,1.0,21.799999999999997,0,0.0,Low
Stable Market,OXC-002,2026-07-01,131817.0,89850.0,0.318,24397.0,17570.0,436837.0,54.8,40.9,44.6,846,122775.0,0.42,0,1,0,0,0,14715.0,14715.0,0.0,On Time,0.010037775751492228,0.13329085019382933,17.905357216051154,1.0,13.899999999999999,0,0.0,Low
Stable Market,OXC-003,2024-11-01,175288.0,130233.0,0.257,35387.0,9668.0,239596.0,33.4,47.8,24.4,699,177026.0,0.41,0,0,2,0,0,17730.0,17730.0,0.0,On Time,-0.01252316757834726,0.055154945004792115,6.770735015683726,1.0,-14.399999999999999,0,0.0,Low
Stable Market,OXC-003,2024-12-01,167189.0,125298.0,0.251,20517.0,21374.0,249093.0,35.3,34.7,39.3,732,160309.0,0.24,0,1,0,0,0,17730.0,17730.0,0.0,On Time,0.07967659233714985,0.1278433389756503,12.140810059950285,1.0,0.5999999999999943,0,0.0,Low
Stable Market,OXC-003,2025-01-01,147021.0,114105.0,0.224,18154.0,14762.0,255541.0,36.3,46.4,23.7,384,156495.0,0.31,0,0,10,0,0,17730.0,17730.0,0.0,On Time,-0.10198085721091887,0.1004074247896559,14.076291726341303,1.0,-10.100000000000001,0,0.0,Low
Stable Market,OXC-003,2025-02-01,174376.0,132824.0,0.238,28713.0,12839.0,259725.0,37.7,28.2,43.9,788,184210.0,0.31,0,1,0,0,0,17730.0,17730.0,0.0,On Time,-0.0052028661402948595,0.0736282515942561,9.045554278549785,1.0,9.500000000000004,0,0.0,Low
Stable Market,OXC-003,2025-03-01,173202.0,129998.0,0.249,30800.0,12404.0,262632.0,38.4,27.0,36.4,637,167589.0,0.39,0,1,0,0,0,17730.0,17730.0,0.0,On Time,0.03596528479744476,0.07161580120321936,8.527012987012988,1.0,11.399999999999999,0,0.0,Low
Stable Market,OXC-003,2025-04-01,162220.0,125449.0,0.227,31482.0,5289.0,267190.0,41.4,32.0,39.2,421,155101.0,0.3,0,1,0,0,0,17730.0,17730.0,0.0,On Time,0.10337978928180336,0.032603871285908026,8.487071977638015,1.0,9.399999999999999,0,0.0,Low
Stable Market,OXC-003,2025-05-01,175142.0,136750.0,0.219,23525.0,14867.0,276344.0,42.6,31.3,42.3,641,170646.0,0.5,0,1,0,0,0,17730.0,17730.0,0.0,On Time,0.004392806349497569,0.08488540726952987,11.746822529224229,1.0,11.3,0,0.0,Low
Stable Market,OXC-003,2025-06-01,170305.0,129180.0,0.241,31371.0,9754.0,283708.0,38.7,40.8,24.1,901,165729.0,0.2,0,1,0,0,0,17730.0,17730.0,0.0,On Time,-0.01672613480213858,0.05727371480578961,9.04363902967709,1.0,-2.0999999999999943,0,0.0,Low
Stable Market,OXC-003,2025-07-01,181424.0,136874.0,0.246,25896.0,18654.0,289645.0,39.6,27.7,34.6,494,181291.0,0.23,0,0,5,0,0,17730.0,17730.0,0.0,On Time,0.11838244359511774,0.10281991357262545,11.18493203583565,1.0,11.900000000000002,0,0.0,Low
