environment,company_id,event_month,event_type
Stable Market,OXC-004,2025-11-01,Missed Payment / Distress Confirmed
Stable Market,OXC-005,2025-11-01,Missed Payment / Distress Confirmed
Stable Market,OXC-009,2025-05-01,Missed Payment / Distress Confirmed
Realistic Baseline,OXC-001,2025-08-01,Missed Payment / Distress Confirmed
Realistic Baseline,OXC-003,2025-07-01,Missed Payment / Distress Confirmed
Realistic Baseline,OXC-004,2025-08-01,Missed Payment / Distress Confirmed
Realistic Baseline,OXC-006,2025-08-01,Missed Payment / Distress Confirmed
Realistic Baseline,OXC-009,2026-03-01,Missed Payment / Distress Confirmed
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-004,2025-09-01,Missed Payment / Distress Confirmed
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-006,2025-07-01,Missed Payment / Distress Confirmed
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-007,2025-06-01,Missed Payment / Distress Confirmed
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-009,2026-05-01,Missed Payment / Distress Confirmed
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-010,2025-12-01,Missed Payment / Distress Confirmed
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-011,2025-10-01,Missed Payment / Distress Confirmed
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-015,2025-08-01,Missed Payment / Distress Confirmed
