environment,company_id,month,monthly_report_submitted_on_time,days_late_reporting,leadership_turnover_event,auditor_changed_event
Stable Market,OXC-001,2024-08-01,1,0,0,0
Stable Market,OXC-001,2024-09-01,1,0,0,0
Stable Market,OXC-001,2024-10-01,1,0,0,0
Stable Market,OXC-001,2024-11-01,1,0,0,0
Stable Market,OXC-001,2024-12-01,0,17,0,0
Stable Market,OXC-001,2025-01-01,1,0,0,0
Stable Market,OXC-001,2025-02-01,1,0,0,0
Stable Market,OXC-001,2025-03-01,1,0,0,0
Stable Market,OXC-001,2025-04-01,1,0,0,0
Stable Market,OXC-001,2025-05-01,1,0,0,0
Stable Market,OXC-001,2025-06-01,0,4,0,0
Stable Market,OXC-001,2025-07-01,1,0,0,0
Stable Market,OXC-001,2025-08-01,1,0,0,0
Stable Market,OXC-001,2025-09-01,1,0,0,0
Stable Market,OXC-001,2025-10-01,1,0,0,0
Stable Market,OXC-001,2025-11-01,1,0,0,0
Stable Market,OXC-001,2025-12-01,1,0,0,0
Stable Market,OXC-001,2026-01-01,1,0,0,0
Stable Market,OXC-001,2026-02-01,1,0,0,0
Stable Market,OXC-001,2026-03-01,1,0,0,0
Stable Market,OXC-001,2026-04-01,1,0,0,0
Stable Market,OXC-001,2026-05-01,0,10,0,0
Stable Market,OXC-001,2026-06-01,1,0,0,0
Stable Market,OXC-001,2026-07-01,1,0,0,0
Stable Market,OXC-002,2024-08-01,1,0,0,0
Stable Market,OXC-002,2024-09-01,1,0,0,0
Stable Market,OXC-002,2024-10-01,1,0,0,0
Stable Market,OXC-002,2024-11-01,1,0,0,0
Stable Market,OXC-002,2024-12-01,1,0,0,0
Stable Market,OXC-002,2025-01-01,1,0,0,0
Stable Market,OXC-002,2025-02-01,0,2,0,0
Stable Market,OXC-002,2025-03-01,1,0,0,0
Stable Market,OXC-002,2025-04-01,1,0,0,0
Stable Market,OXC-002,2025-05-01,1,0,0,0
Stable Market,OXC-002,2025-06-01,1,0,0,0
Stable Market,OXC-002,2025-07-01,0,14,0,0
Stable Market,OXC-002,2025-08-01,1,0,0,0
Stable Market,OXC-002,2025-09-01,1,0,0,0
Stable Market,OXC-002,2025-10-01,1,0,0,0
Stable Market,OXC-002,2025-11-01,1,0,0,0
Stable Market,OXC-002,2025-12-01,1,0,0,0
Stable Market,OXC-002,2026-01-01,1,0,0,0
Stable Market,OXC-002,2026-02-01,1,0,0,0
Stable Market,OXC-002,2026-03-01,1,0,0,0
Stable Market,OXC-002,2026-04-01,1,0,0,0
Stable Market,OXC-002,2026-05-01,1,0,0,0
Stable Market,OXC-002,2026-06-01,1,0,0,0
Stable Market,OXC-002,2026-07-01,1,0,0,0
Stable Market,OXC-003,2024-08-01,1,0,0,0
Stable Market,OXC-003,2024-09-01,1,0,0,0
Stable Market,OXC-003,2024-10-01,1,0,1,0
Stable Market,OXC-003,2024-11-01,0,2,0,0
Stable Market,OXC-003,2024-12-01,1,0,0,0
Stable Market,OXC-003,2025-01-01,0,10,0,0
Stable Market,OXC-003,2025-02-01,1,0,0,0
Stable Market,OXC-003,2025-03-01,1,0,0,0
Stable Market,OXC-003,2025-04-01,1,0,0,0
Stable Market,OXC-003,2025-05-01,1,0,0,0
Stable Market,OXC-003,2025-06-01,1,0,0,0
Stable Market,OXC-003,2025-07-01,0,5,0,0
Stable Market,OXC-003,2025-08-01,1,0,0,0
Stable Market,OXC-003,2025-09-01,1,0,0,0
Stable Market,OXC-003,2025-10-01,1,0,0,0
Stable Market,OXC-003,2025-11-01,1,0,0,0
Stable Market,OXC-003,2025-12-01,1,0,0,0
Stable Market,OXC-003,2026-01-01,1,0,0,0
Stable Market,OXC-003,2026-02-01,1,0,0,0
Stable Market,OXC-003,2026-03-01,1,0,0,0
Stable Market,OXC-003,2026-04-01,1,0,0,0
Stable Market,OXC-003,2026-05-01,1,0,0,0
Stable Market,OXC-003,2026-06-01,1,0,0,0
Stable Market,OXC-003,2026-07-01,1,0,0,0
Stable Market,OXC-004,2024-08-01,1,0,0,0
Stable Market,OXC-004,2024-09-01,1,0,0,0
Stable Market,OXC-004,2024-10-01,1,0,0,0
Stable Market,OXC-004,2024-11-01,1,0,0,0
Stable Market,OXC-004,2024-12-01,1,0,0,0
Stable Market,OXC-004,2025-01-01,1,0,0,0
Stable Market,OXC-004,2025-02-01,1,0,0,0
Stable Market,OXC-004,2025-03-01,1,0,0,0
Stable Market,OXC-004,2025-04-01,1,0,0,0
Stable Market,OXC-004,2025-05-01,1,0,0,0
Stable Market,OXC-004,2025-06-01,1,0,0,1
Stable Market,OXC-004,2025-07-01,0,9,0,0
Stable Market,OXC-004,2025-08-01,1,0,1,0
Stable Market,OXC-004,2025-09-01,1,0,1,0
Stable Market,OXC-004,2025-10-01,0,7,0,0
Stable Market,OXC-004,2025-11-01,1,0,0,0
Stable Market,OXC-004,2025-12-01,0,2,0,0
Stable Market,OXC-004,2026-01-01,1,0,0,0
Stable Market,OXC-004,2026-02-01,0,2,0,0
Stable Market,OXC-004,2026-03-01,1,0,0,0
Stable Market,OXC-004,2026-04-01,1,0,0,0
Stable Market,OXC-004,2026-05-01,0,1,0,0
