environment,company_id,months_forward,simulated_cash_p10,simulated_cash_p50,simulated_cash_p90,probability_cash_negative
Stable Market,OXC-001,1,590221.0,593246.0,596166.0,0.0
Stable Market,OXC-001,2,613757.0,617963.0,622701.0,0.0
Stable Market,OXC-001,3,637197.0,642932.0,648775.0,0.0
Stable Market,OXC-001,4,661590.0,667860.0,674120.0,0.0
Stable Market,OXC-001,5,685855.0,692575.0,699576.0,0.0
Stable Market,OXC-001,6,710644.0,717447.0,725054.0,0.0
Stable Market,OXC-002,1,446560.0,448244.0,449839.0,0.0
Stable Market,OXC-002,2,457165.0,459550.0,461737.0,0.0
Stable Market,OXC-002,3,467706.0,470910.0,473651.0,0.0
Stable Market,OXC-002,4,478438.0,482170.0,485601.0,0.0
Stable Market,OXC-002,5,489524.0,493439.0,497112.0,0.0
Stable Market,OXC-002,6,500567.0,504826.0,508750.0,0.0
Stable Market,OXC-003,1,330901.0,332992.0,335072.0,0.0
Stable Market,OXC-003,2,334737.0,337934.0,340836.0,0.0
Stable Market,OXC-003,3,339128.0,342576.0,345840.0,0.0
Stable Market,OXC-003,4,343376.0,347489.0,351283.0,0.0
Stable Market,OXC-003,5,347695.0,352199.0,356624.0,0.0
Stable Market,OXC-003,6,352358.0,356900.0,362027.0,0.0
Stable Market,OXC-004,1,154202.0,154288.0,154369.0,0.0
Stable Market,OXC-004,2,153383.0,153498.0,153614.0,0.0
Stable Market,OXC-004,3,152561.0,152702.0,152846.0,0.0
Stable Market,OXC-004,4,151743.0,151919.0,152089.0,0.0
Stable Market,OXC-004,5,150938.0,151119.0,151321.0,0.0
Stable Market,OXC-004,6,150123.0,150342.0,150571.0,0.0
Stable Market,OXC-005,1,175428.0,175504.0,175592.0,0.0
Stable Market,OXC-005,2,174639.0,174753.0,174869.0,0.0
Stable Market,OXC-005,3,173873.0,174009.0,174159.0,0.0
Stable Market,OXC-005,4,173118.0,173264.0,173432.0,0.0
Stable Market,OXC-005,5,172337.0,172514.0,172698.0,0.0
Stable Market,OXC-005,6,171565.0,171770.0,171957.0,0.0
Stable Market,OXC-006,1,245823.0,247543.0,248974.0,0.0
Stable Market,OXC-006,2,253628.0,255880.0,257953.0,0.0
Stable Market,OXC-006,3,261636.0,264146.0,266912.0,0.0
Stable Market,OXC-006,4,269664.0,272489.0,275754.0,0.0
Stable Market,OXC-006,5,277840.0,280962.0,284401.0,0.0
Stable Market,OXC-006,6,285721.0,289392.0,293122.0,0.0
Stable Market,OXC-007,1,332368.0,333143.0,333979.0,0.0
Stable Market,OXC-007,2,335045.0,336156.0,337388.0,0.0
Stable Market,OXC-007,3,337860.0,339162.0,340712.0,0.0
Stable Market,OXC-007,4,340794.0,342304.0,343890.0,0.0
Stable Market,OXC-007,5,343667.0,345340.0,347142.0,0.0
Stable Market,OXC-007,6,346571.0,348401.0,350418.0,0.0
Stable Market,OXC-008,1,173593.0,176647.0,179821.0,0.0
Stable Market,OXC-008,2,177548.0,181915.0,186756.0,0.0
Stable Market,OXC-008,3,181879.0,187739.0,192747.0,0.0
Stable Market,OXC-008,4,186818.0,193284.0,198810.0,0.0
Stable Market,OXC-008,5,191681.0,198678.0,205696.0,0.0
Stable Market,OXC-008,6,196748.0,204524.0,211907.0,0.0
Stable Market,OXC-009,1,58289.0,58328.0,58363.0,0.0
Stable Market,OXC-009,2,57955.0,58007.0,58056.0,0.0
Stable Market,OXC-009,3,57623.0,57685.0,57745.0,0.0
Stable Market,OXC-009,4,57293.0,57363.0,57433.0,0.0
Stable Market,OXC-009,5,56967.0,57044.0,57120.0,0.0
Stable Market,OXC-009,6,56643.0,56723.0,56810.0,0.0
Stable Market,OXC-010,1,377191.0,378648.0,380087.0,0.0
Stable Market,OXC-010,2,383820.0,385954.0,387967.0,0.0
Stable Market,OXC-010,3,390476.0,393169.0,395735.0,0.0
Stable Market,OXC-010,4,397340.0,400290.0,403316.0,0.0
Stable Market,OXC-010,5,404328.0,407525.0,410525.0,0.0
Stable Market,OXC-010,6,411049.0,414502.0,418326.0,0.0
Stable Market,OXC-011,1,397407.0,399221.0,400993.0,0.0
Stable Market,OXC-011,2,407010.0,409649.0,411748.0,0.0
Stable Market,OXC-011,3,416638.0,419753.0,422901.0,0.0
Stable Market,OXC-011,4,426502.0,429952.0,433660.0,0.0
Stable Market,OXC-011,5,436362.0,440197.0,444180.0,0.0
Stable Market,OXC-011,6,445967.0,450527.0,454870.0,0.0
Stable Market,OXC-012,1,42956.0,44996.0,46885.0,0.0
Stable Market,OXC-012,2,43313.0,46125.0,48786.0,0.0
Stable Market,OXC-012,3,43513.0,47064.0,50591.0,0.0
Stable Market,OXC-012,4,43946.0,47826.0,51883.0,0.0
Stable Market,OXC-012,5,44580.0,49028.0,53341.0,0.0
Stable Market,OXC-012,6,45181.0,49913.0,54998.0,0.0
Stable Market,OXC-013,1,117163.0,118689.0,120433.0,0.0
Stable Market,OXC-013,2,118760.0,120830.0,123250.0,0.0
Stable Market,OXC-013,3,120447.0,123244.0,125901.0,0.0
Stable Market,OXC-013,4,122565.0,125464.0,128627.0,0.0
Stable Market,OXC-013,5,124204.0,127685.0,131209.0,0.0
Stable Market,OXC-013,6,126169.0,129897.0,133943.0,0.0
Stable Market,OXC-014,1,302394.0,304462.0,306729.0,0.0
Stable Market,OXC-014,2,310608.0,313800.0,316940.0,0.0
Stable Market,OXC-014,3,318898.0,322916.0,326700.0,0.0
Stable Market,OXC-014,4,327503.0,331939.0,336119.0,0.0
Stable Market,OXC-014,5,336045.0,340966.0,345942.0,0.0
Stable Market,OXC-014,6,344941.0,350304.0,355538.0,0.0
Stable Market,OXC-015,1,149086.0,149893.0,150644.0,0.0
Stable Market,OXC-015,2,147933.0,149035.0,149994.0,0.0
Stable Market,OXC-015,3,146782.0,148124.0,149419.0,0.0
Stable Market,OXC-015,4,145763.0,147242.0,148755.0,0.0
Stable Market,OXC-015,5,144769.0,146314.0,148057.0,0.0
Stable Market,OXC-015,6,143688.0,145516.0,147382.0,0.0
Realistic Baseline,OXC-001,1,129534.0,129618.0,129697.0,0.0
Realistic Baseline,OXC-001,2,129108.0,129220.0,129333.0,0.0
Realistic Baseline,OXC-001,3,128697.0,128825.0,128960.0,0.0
Realistic Baseline,OXC-001,4,128274.0,128437.0,128588.0,0.0
