environment,company_id,month,transaction_count,transaction_volume_usd,top5_customer_concentration_pct,anomaly_flag
Stable Market,OXC-001,2024-08-01,1475,225975.0,0.36,0
Stable Market,OXC-001,2024-09-01,868,201776.0,0.33,0
Stable Market,OXC-001,2024-10-01,1563,220668.0,0.35,0
Stable Market,OXC-001,2024-11-01,659,186502.0,0.22,0
Stable Market,OXC-001,2024-12-01,532,200591.0,0.45,0
Stable Market,OXC-001,2025-01-01,1246,201207.0,0.34,0
Stable Market,OXC-001,2025-02-01,629,227608.0,0.22,0
Stable Market,OXC-001,2025-03-01,591,191789.0,0.44,0
Stable Market,OXC-001,2025-04-01,1033,210710.0,0.29,0
Stable Market,OXC-001,2025-05-01,1458,224253.0,0.3,0
Stable Market,OXC-001,2025-06-01,1254,247033.0,0.39,0
Stable Market,OXC-001,2025-07-01,1303,266105.0,0.18,0
Stable Market,OXC-001,2025-08-01,1302,229161.0,0.31,0
Stable Market,OXC-001,2025-09-01,689,284036.0,0.39,0
Stable Market,OXC-001,2025-10-01,654,255277.0,0.28,0
Stable Market,OXC-001,2025-11-01,656,265006.0,0.37,0
Stable Market,OXC-001,2025-12-01,639,238347.0,0.27,0
Stable Market,OXC-001,2026-01-01,674,255151.0,0.4,0
Stable Market,OXC-001,2026-02-01,614,216044.0,0.34,0
Stable Market,OXC-001,2026-03-01,688,251508.0,0.25,1
Stable Market,OXC-001,2026-04-01,1486,244595.0,0.18,0
Stable Market,OXC-001,2026-05-01,619,228024.0,0.31,0
Stable Market,OXC-001,2026-06-01,1299,214477.0,0.35,0
Stable Market,OXC-001,2026-07-01,1515,231636.0,0.39,0
Stable Market,OXC-002,2024-08-01,773,116379.0,0.2,0
Stable Market,OXC-002,2024-09-01,301,111982.0,0.31,0
Stable Market,OXC-002,2024-10-01,281,105291.0,0.29,0
Stable Market,OXC-002,2024-11-01,253,101862.0,0.22,0
Stable Market,OXC-002,2024-12-01,267,113326.0,0.31,0
Stable Market,OXC-002,2025-01-01,314,110138.0,0.36,1
Stable Market,OXC-002,2025-02-01,513,112909.0,0.22,0
Stable Market,OXC-002,2025-03-01,423,106834.0,0.26,0
Stable Market,OXC-002,2025-04-01,317,106665.0,0.27,0
Stable Market,OXC-002,2025-05-01,692,124827.0,0.24,0
Stable Market,OXC-002,2025-06-01,523,119382.0,0.25,0
Stable Market,OXC-002,2025-07-01,432,126350.0,0.42,0
Stable Market,OXC-002,2025-08-01,400,117127.0,0.18,0
Stable Market,OXC-002,2025-09-01,650,124361.0,0.43,0
Stable Market,OXC-002,2025-10-01,360,116059.0,0.33,0
Stable Market,OXC-002,2025-11-01,818,122453.0,0.4,0
Stable Market,OXC-002,2025-12-01,317,112237.0,0.39,0
Stable Market,OXC-002,2026-01-01,542,112662.0,0.3,0
Stable Market,OXC-002,2026-02-01,281,118485.0,0.42,0
Stable Market,OXC-002,2026-03-01,818,125589.0,0.3,0
Stable Market,OXC-002,2026-04-01,429,130473.0,0.47,0
Stable Market,OXC-002,2026-05-01,911,128702.0,0.31,0
Stable Market,OXC-002,2026-06-01,595,141135.0,0.29,0
Stable Market,OXC-002,2026-07-01,846,122775.0,0.42,0
Stable Market,OXC-003,2024-08-01,492,161671.0,0.22,0
Stable Market,OXC-003,2024-09-01,769,152843.0,0.35,0
Stable Market,OXC-003,2024-10-01,449,160287.0,0.31,0
Stable Market,OXC-003,2024-11-01,699,177026.0,0.41,0
Stable Market,OXC-003,2024-12-01,732,160309.0,0.24,0
Stable Market,OXC-003,2025-01-01,384,156495.0,0.31,0
Stable Market,OXC-003,2025-02-01,788,184210.0,0.31,0
Stable Market,OXC-003,2025-03-01,637,167589.0,0.39,0
Stable Market,OXC-003,2025-04-01,421,155101.0,0.3,0
Stable Market,OXC-003,2025-05-01,641,170646.0,0.5,0
Stable Market,OXC-003,2025-06-01,901,165729.0,0.2,0
Stable Market,OXC-003,2025-07-01,494,181291.0,0.23,0
Stable Market,OXC-003,2025-08-01,902,174385.0,0.26,0
Stable Market,OXC-003,2025-09-01,909,154208.0,0.29,0
Stable Market,OXC-003,2025-10-01,557,136805.0,0.27,0
Stable Market,OXC-003,2025-11-01,428,142348.0,0.36,0
Stable Market,OXC-003,2025-12-01,732,144409.0,0.3,0
Stable Market,OXC-003,2026-01-01,489,155767.0,0.18,0
Stable Market,OXC-003,2026-02-01,557,148891.0,0.32,0
Stable Market,OXC-003,2026-03-01,786,164978.0,0.3,0
Stable Market,OXC-003,2026-04-01,778,169989.0,0.35,0
Stable Market,OXC-003,2026-05-01,1228,188262.0,0.32,0
Stable Market,OXC-003,2026-06-01,1110,201628.0,0.43,1
Stable Market,OXC-003,2026-07-01,562,216060.0,0.28,0
Stable Market,OXC-004,2024-08-01,1216,177824.0,0.22,0
Stable Market,OXC-004,2024-09-01,934,208925.0,0.23,0
Stable Market,OXC-004,2024-10-01,1499,204468.0,0.32,0
Stable Market,OXC-004,2024-11-01,1040,219491.0,0.23,0
Stable Market,OXC-004,2024-12-01,1194,193123.0,0.33,0
Stable Market,OXC-004,2025-01-01,536,230966.0,0.38,0
Stable Market,OXC-004,2025-02-01,1208,223859.0,0.4,0
Stable Market,OXC-004,2025-03-01,1616,233982.0,0.34,0
Stable Market,OXC-004,2025-04-01,567,203304.0,0.37,0
Stable Market,OXC-004,2025-05-01,795,179439.0,0.24,0
Stable Market,OXC-004,2025-06-01,617,175751.0,0.5,0
Stable Market,OXC-004,2025-07-01,761,146904.0,0.74,1
Stable Market,OXC-004,2025-08-01,317,128370.0,0.95,0
Stable Market,OXC-004,2025-09-01,354,96826.0,0.96,1
Stable Market,OXC-004,2025-10-01,300,91596.0,0.96,1
Stable Market,OXC-004,2025-11-01,197,62316.0,0.96,0
Stable Market,OXC-004,2025-12-01,246,43726.0,0.96,0
Stable Market,OXC-004,2026-01-01,166,28091.0,0.96,0
Stable Market,OXC-004,2026-02-01,47,17082.0,0.96,1
Stable Market,OXC-004,2026-03-01,27,9994.0,0.96,1
Stable Market,OXC-004,2026-04-01,13,5510.0,0.96,0
Stable Market,OXC-004,2026-05-01,12,2911.0,0.96,0
Stable Market,OXC-004,2026-06-01,15,2865.0,0.96,1
Stable Market,OXC-004,2026-07-01,8,2833.0,0.96,0
Stable Market,OXC-005,2024-08-01,611,214065.0,0.43,1
Stable Market,OXC-005,2024-09-01,1148,184969.0,0.4,0
Stable Market,OXC-005,2024-10-01,554,210079.0,0.16,0
Stable Market,OXC-005,2024-11-01,654,214276.0,0.37,0
Stable Market,OXC-005,2024-12-01,703,231758.0,0.29,0
Stable Market,OXC-005,2025-01-01,1418,214598.0,0.51,0
